premise	hypothesis	premise_atomic	hypothesis_atomic	label
Tudi astre, čebulnice in še mnoge druge okrasne rastline se lahko okužijo virusi.	Virusi lahko napadajo tudi različne vrste rastlin.	virusi pomaga rastlini predmet lahko namesto zalivanja opravljate druga opravila.	Virusi poje rastline predmet prepoznati rastline.	neutral
Pečeno testo premažemo s čokoladno kremo, čez pa polijemo pomarančno kremo.	Ko je biskvit pečen, nanj namažemo kremo iz čokolade, čez to pa prelijemo še pomarančno kremo.	osebek pripravi puding je prekrit s čokolado v prahu.	biskvit speče čokoladno torto Pojejte torto	entailment
»Mislim, da je bolje, da tole jaz obdržim.	“Bolje bo, če je tole pri meni.“	jaz prikliče da mislim, da je to najboljše.	PersonX je moj prijatelj boljši	entailment
Takoj sem ugotovil, da je računalništvo področje, ki me zanima.	Ne spoznam se na računalnike, niti nimam veselja, da bi se s tem ukvarjal.	računalništvo dobro pozna šolanje na področju računalništva.	osebek ne želi iti v posteljo igranje na računalniku	contradiction
Premier Janša se je v slavnostnem govoru v imenu slovenske države opravičil vsem preživelim političnim preganjancem v drugi polovici 20. stoletja: »Vsem, ki ste živi in me slišite, izrekam opravičilo in priznanje.	Vodje slovenske vlade, Janez Janša, je na slavnosti prireditvi ob prazniku izrekel opravičilo vsem tistim, ki so pred desetletji preživeli komunistične pregone s strani vladajoče politike.	Premier se zahvaliti vsem, ki so pomagali.	PersonX se odlično zabava se zahvaliti vsem za čudovit čas, ki so ga preživeli	neutral
Od 1. januarja 2004 sta osnovni dejavnosti družbe trgovina in financiranje poslov z nafto, naftnimi derivati ter drugim blagom.	1. 1. 2004 se je podjetje, prej znano po pridelavi koruze, preusmerilo na trg naftnih derivatov; njeni glavni panogi sta namreč prodaja ter financiranje naftnih poslov.	dejavnosti je prva nič	panogi zamenja olje za nakup nafte	neutral
Če ga v bližini ni, takoj začnemo z zunanjo masažo srca in umetnim dihanjem.	V primeru, da se ne nahaja dovolj blizu, pričnemo z oživljanjem.	ga se izogiba očesnemu stiku poveča se srčni utrip.	osebek kmalu zapusti začeti znova.	entailment
To je moje telo pomeni: to sem jaz, živ in resničen.	To je moje telo se nanaša na to, da je to simbol moje duhovnosti, ki sem živ in resničen.	to nadaljuje pot predmet vesel sem, da sem živ.	to dokazuje, da je bog duhovni	contradiction
(b) Te predloge sporoči generalni direktor državam pogodbenicam najmanj šest mesecev pred njihovo obravnavo v skupščini.	Glavni direktor mora posredovati predloge vsem državam, ki jih veže pogodba, vsaj pol leta pred predložno obravnavo v zbirni odločevalni skupini.	direktor se pogovarja s šefom obravnavo obvestiti obravnavo o sestanku.	PersonX sprašuje vodjo PersonX odgovoriti na vsa vprašanja.	entailment
Znamka preneha veljati z dnem izdaje odločbe o prenehanju znamke.	V postopku razveljavitve znamke nosilec znamke dokazuje uporabo znamke.	Znamka izbriše ime dnem Znamka ploska, ko sodišče razglasi dnem za nedolžno	nosilec izbriše ime postopku dokazati nedolžnost postopku.	neutral
Pri čelnih trkih se je izkazalo, da so pri trku otroci, ki sedijo obrnjeni v nasprotno smer vožnje, manj obremenjeni kot pa otroci, ki sedijo v smeri vožnje.	Vse kaže, da v primeru čelnega trčenja slabše odnesejo otroci, katerih stolček je obrnjen v smer vožnje, kot pa otroci, ki so obrnjeni s hrbtom proti vozniku.	otroci se v šolo vozi s kolesom smeri drugi vidijo, da otroci parkira kolo na šolskem stojalu za kolesa.	stolček se v šolo vozi s kolesom vozniku drugi vidijo, da stolček parkira kolo na šolskem stojalu za kolesa.	entailment
Sodišče, ki ugotovi ničnost vpisa v sodni register, pošlje svojo odločbo po pravnomočnosti pristojnemu sodišču, da začne likvidacijski postopek.	V primeru, da sodišče sprevidi, da je vpis v sodni register ničen, lahko še v istem hipu začne z likvidacijskem postopkom.	Sodišče izbriše ime predmet Sodišče ploska, ko sodišče razglasi predmet za nedolžno	vpis izbriše ime postopkom vpis ploska, ko sodišče razglasi postopkom za nedolžno	contradiction
Če ga v bližini ni, takoj začnemo z zunanjo masažo srca in umetnim dihanjem.	Če AED ni nameščen v oddaljenosti največ 1 minute, začnemo kar z oživljanjem.	ga se izogiba očesnemu stiku poveča se srčni utrip.	PersonX traja približno eno uro da se vrnemo dol, preden se stemni.	neutral
Tudi če je videti, da vsakdanje pravilo po utilitarističnih merilih ni dobro, obstajajo utilitaristični razlogi, da pravil ne ocenjujemo z merili koristi.	Utilitarizem brez izjeme veli, da moramo pravila vedno vrednotiti glede na merila koristi.	razlogi gre proti toku ne upoštevajo družbenih norm.	Utilitarizem mora vedno upoštevati pravila.	contradiction
“Upam le, da se ne boste ... dolgočasili.”	“Vseeno mi je, če vam bo dolgčas.“	osebek ne želi iti utrujen	dolgčas delu Ne preneha, tudi ko sem utrujen.	contradiction
Tedaj pa sem nenadoma z vrha cirkuškega šotora zaslišala klic: »Mila, prihajam!«	Ko smo že izgubili upanje, da jo bomo našli, smo zaslišali klic: »Mila, tu sem, prihajam!«	Mila sliši tovornjak s sladoledom skoči navzgor	Mila izgubi telefon predmet iskanje telefona	neutral
»Saj sem ti hotela samo pomagati,« je hip zatem vzkipela.	Jezno je obrazložila, zakaj se je do nje poskušala vesti tako presenetljivo prijazno.	osebek je takoj poklicala potrebuje pomoč	osebek je končno povedala zakaj bi to želeli povedati.	neutral
V skladu z določili stanovanjskega zakona je lastnik dolžan skleniti z najemnikom najemno pogodbo.	Zaenkrat je stanovanje še prazno, lastnik mora dobiti nekoga, ki se bo želel vseliti.	PersonX oddaja v najem in upravlja nepremičnine za plačilo sestanek z najemniki in dogovor o oddaji nepremičnine v najem.	lastnik se seli v novo stanovanje išče ljudi, s katerimi bi se lahko pogovarjal.	neutral
Meni pa ne, kar mi nikakor ni bilo všeč.	Izid dogodkov me je spravil v slabo voljo.	kar nikoli ni bilo všeč nič	Izid raztrga voljo zmedenost glede izida dogodka.	neutral
Pravijo, da ne bi imeli kaj početi, če ne bi delali.	Toliko stvari moram še postoriti, a ne morem zaradi službe.	osebek reči, da ne bodo nikoli ničesar storili, če bodo prisiljeni	osebek zaposluje službe vedno je treba dati toliko preveč dela.	contradiction
Navadno so jih izdelovali v črni, rdeči in rjavi barvi.	Običajno so bili roza ali vijolične barve.	osebek vidi rdeče da vidite normalne barve	osebek vidi rdeče da vidite normalne barve	contradiction
No , to je že spet druga zgodba...	A to je že druga zgodba, ki se bo sčasoma razkrila.	to je preprosto druga primer	to se o tem pogovorimo pozneje.	entailment
Po šestih mesecih na dieti sem shujšal za kakšnih 25 kilogramov.	Polletni dietni režim me je odrešil približno 25 kilogramov.	osebek izgubi petdeset kilogramov upoštevali načrt prehrane.	režim izgubi petdeset kilogramov upoštevali načrt prehrane.	entailment
Čim ni bilo nekaj po njenem, sem bila kregana.	Vsakič, ko se stvari niso odvijale tako, kot si je želela, sem jo skupila jaz.	osebek je komaj naredila je pod stresom.	jaz da bi končno naredil nekaj, kar je od njega zahtevala.	entailment
Poljubljal jo je na vrat, na lica, na veke in povsod, kjer so se je dotaknile njegove ustnice, je še naprej čutila njih vlažni dotik.	Povsod po njenem obrazu so padali njegovi poljubi, njen obraz je bil vlažen od dotikov njegovih ust.	dotik poljubi vrat na obe lici ljubljena	obraz ima solze v očeh dotikov obrisati solze z njenega obraza.	entailment
»Kar pa nikakor ne pomeni, da si ti lahko zdaj oddahneš!	“Zdaj ne smeš predvidevati, da si iz najhujšega že ven.“	Kar se ne počuti dobro počivati	osebek ne sme nikoli da tega najverjetneje ne boste storili.	entailment
Poročila o sanjah po prebuditvi iz spanja REM so običajno daljša, bolj čustvena in običajno niso neposredno povezana z našim vsakdanjim življenjem ali dogodki, ki so se nam zgodili pred kratkim.	Kdor se je zbudil iz spanja REM, poroča o sanjah, ki po navadi niso kratka ter so bolj čustvena, med njimi in vsakdanjim življenjem, preteklimi dogodki pa ni očitnih in jasnih povezav.	Poročila pride domov pozno ostanejo dolgo časa	povezav se preživlja z žive družinske sanje	entailment
Loesje je razširjena po večini evropskih držav, pa tudi v svetu.	Težko bi jo našli v kakšni državi znotraj Evrope, prav tako drugod na Zemlji.	Podjetje PersonX opravlja to delo po vsem svetu. vplivni	osebek ne najde ničesar iskati na drugem mestu	contradiction
Drugod jih gojimo v loncih, bodisi kot sobno lončnico ali posodovko, s katero si od pomladi do jeseni okrasimo teraso.	Drugje se jih vzgaja posajene v lonce, ki jih lahko postavimo v notranje prostore, ali pa jih imamo v toplih mesecih na terasi.	osebek rada drsajo na ledu pozimi svoje dvorišče spremenijo v drsališče.	osebek ga lahko da jih pobereš na dvorišču.	entailment
Jaz zgoraj, ampak si narediva tako, da je vedno dobro.	Jaz zgoraj, vendar vedno poskrbiva, da je zmeraj dobro.	Jaz da bi še naprej delali dobro.	Jaz je vedno sledila da se prepričate, da je vse prav.	entailment
Ko sem ovdovela, sem bila v težavah in sem morala revijo odpovedati.	Tako lahkotno kot ob smrti moža, s katerim so bili sami križi in težave, se že dolgo nisem počutila.	osebek dobi odpoved se vznemiri in začne kričati.	osebek zelo zadovoljen, ko lahko nekdo drug deli svojo bolečino in misli.	contradiction
Eno nogo dvignemo in upognemo nad drugo nogo, tako da je stopalo tik pod kolenom druge noge.	Nogo privzdignemo tako visoko, da je po pregibanju njen spodnji del postavljen malo nad drugim kolenom.	stopalo potegne drugo nogo da bi dobili občutek v drugi nogi.	del potegne drugo nogo da bi dobili občutek v drugi nogi.	contradiction
Vprašanje: Pred dvema letoma je v domu umrl možakar, ki je bil poročen z materjo vaše žene.	Odgovarjam na vprašanje o smrti domskega pokojnika, ki je bil očim moji ženi do prejšnjega leta.	možakar njen mož mrtev	osebek ubije moža vprašanje radoveden glede smrti personyjinega moža	contradiction
Trava ne vzkali, če so semena pregloboko v zemlji.	Kadar semena trave posujemo po površju, imamo kar 25 % večje možnosti za hitro klitje, kot če jih zakopljemo.	semena vrže obirati sadje, ki raste. na zemljo	osebek postane hitrejši pri tipkanju	neutral
Ob 16. uri bo minister za kmetijstvo, gozdarstvo in prehrano mag. Dejan Židan se bo udeležil okrogle mize, na kateri bo osrednja tema vpliv politike na zaraščanje kmetijskih zemljišč.	Na novo izvoljeni minister za kmetijstvo, gozdarstvo in prehrano, gospod Židan, se je odzval posebnemu povabilu na okroglo mizo, kjer bodo spregovorili o politični odgovornosti do okolja.	tema je nekega dne zelo lačna razmišljati o tem, kaj jesti.	minister kupi novo rastlino okoljsko ozaveščeni	neutral
Znanje je vedno mogoče uporabiti v korist ali v škodo, sebi ali drugim.	Več kot ima človek znanja, težje ga je zmanipulirati.	osebek se uči vsak uporabite znanje, da bi bili boljši.	PersonX se veliko nauči ima višjo inteligenco.	neutral
Eden izmed naslednjih pregovorov pa pravi, da nam blagi januar obeta pozno pomlad.	Sodeč po enem izmed naslednjih pregovorov, nam topel prvi mesec v novem letu oznanja zgodnjo pomlad.	januar kasneje pove predmet žalostno	mesec najde novo stanovanje plačati najemnino za prve mesece.	contradiction
- N...ne, je jecljal prestrašeno.	Ker je bil v stresu, je pri govornem nastopu zopet jecljal.	osebek prestrašen, nervozen.	osebek se glasno smeje se mora ponovno osredotočiti na nalogo.	neutral
Končno število doseženih točk pri izpitnem nastopu je povprečje števila točk vseh treh.	Za oceno zaključnega nastopa, ki šteje za izpit, se upošteva le najboljša ocena od treh.	število igra spletno igro doseže najvišje število točk.	ocena v šoli opravlja opraviti izpit z najboljšimi ocenami	contradiction
• Otroci opišejo narisane pravljične junake in predmete na slikah v učbeniku.	Pri tej vaji se osredotočajo le na učbeniško besedilo.	Otroci je učitelj v šoli učenci se učijo snovi iz PersonX.	osebek se ponovno osredotoči na lekcijo.	contradiction
Predpisi o pokojninskem in invalidskem ter zdravstvenem in drugem socialnem zavarovanju, ki veljajo za osebe v delovnem razmerju, se uporabljajo tudi za sodnike, če ni z zakonom drugače določeno.	Od leta 2020 veljajo predpisi o pokojninskem in invalidskem ter zdravstvenem in drugem socialnem zavarovanju za osebe v delovnem razmerju, prav tako za sodnike.	Predpisi vidi druge ljudi normalno	predpisi umre pri starosti leta podobno	neutral
Tudi jaz ti ne bi hotel vzeti nečesa, kar je prav zate.	Jaz bi prav tako zavrnil nekaj, kar je namenjeno eksplicitno tebi.	kar vzame karkoli da vam ni treba deliti.	kar je vljudno zavrnila predlagal nekaj drugega.	entailment
Državni svet ima predsednika in podpredsednika, ki ju izvoli z večino glasov vseh članov.	Državni svet je imel do danes zgolj eno samo žensko predsednico, ta pa je bila izglasovana z dvotretjinsko večino.	svet kandidira za predsednika izbere svoj kabinet.	ta izbrati eno samo možnost.	neutral
Popoldne je neznanec v Loški dolini poskušal vlomiti v stanovanjsko hišo.	Neznan moški je danes v Loški dolini želel vdreti v tujo hišo s stanovalci.	PersonX pije eno noč želel poskusiti piti	PersonX se je nedavno preselil upa, da se bosta naselila v novem kraju.	entailment
Republika Hrvaška je evropska parlamentarna država in je del evropske politične in kulturne zgodovine.	Južna soseda Slovenije, glede na ureditev parlamentarna republika, doprinaša k oblikovanju zgovodine Evrope na politični in kulturni ravni.	PersonX je vedno tako srečen je prijazen	soseda oblikuje zakone oblikovanju biti politična.	entailment
okra potrebuje veliko toplote, zato izberemo zaveterno mesto s polnim soncem.	okra najlaže preživi v hladnejših krajih, zato jo postavimo na osojno stran, kjer bo nanjo tudi konstantno pihalo.	PersonX veliko fotografira potrebuje več prostora	osebek je vedno hladna da se oblečete bolj toplo in v več plasteh.	contradiction
Dolge, zelo tanke in viseče ali vzpenjave poganjke s številnimi majhnimi listi ima vzpenjavi gumovec (F. pumila); to je lepa rastlina, primerna za viseče cvetlične posode in ozelenitev predelnih špalirjev.	Vzpenjavi gumovec (lat. ficus pumila) prepoznamo po dolgih in nitastih visečih ali vzpenjavih poganjkih, iz katerih poganjajo številni listki; je okrasna rastlina, ki pride do izraza v visečih cvetličnih loncih in ob predelnih špalirjih.	PersonX ima velik vrt posadite cvetje in zelenjavo.	listki pulzi plevel saditi rože	entailment
Miu se je za trenutek ustavila, da je zajela sapo.	To, kar je videla, jo je prisililo, da se ustavi in globoko vdihne.	Miu nekaj minut spušča vodo da bi dobili nekaj za pitje.	To verjame v to, kar je videla predmet poslušati, kaj je predmet videla.	neutral
Listi so po obliki ovalni, z rahlo nazobčanimi robovi.	Listi so imeli robove našpičene, oblika celega lista pa je bila vseeno elipsasta.	Listi obdrži glavo robovi roke postanejo rahlo utrujene in/ali se začnejo tresti.	oblika pokriva telo predmet imeti list	entailment
Neporabljene minute, sporočila SMS oz. količina kB se ne prenašajo v naslednji mesec.	Minute, količine kilobajtov in SMS-sporočil, ki jih pretekli mesec niste porabili, se ne prenašajo v naslednjega.	minute pošlje besedilo se ne upošteva.	Minute je prejšnji teden nič	entailment
Določba 16. točke 1. odstavka 2. člena ZJN-2 določa, da je popolna ponudba tista, ki je pravočasna, formalno popolna, sprejemljiva, pravilna in primerna.	Popolna ponudba je v 16. točki 2. člena ZJN-2 definirana kot tista ponudba, »ki je pravočasna, formalno popolna, sprejemljiva, pravilna in primerna«.	PersonX pomeni vsako besedo pošten	PersonX je vedno dober biti popoln	entailment
Fižol in kapre odcedimo, stresemo v krompirjev golaž, še enkrat zavremo, solimo, popopramo in potresemo s peteršiljem.	Fižol in kapre skupaj z vodo prelijemo v golaž s krompirjem, soli in popra ne dodajamo, kuhamo, a ne sme zavreti, peteršilj na koncu dobro vmešamo.	osebek da peteršiljem še eno priložnost verjeti	osebek pripravi jajca in slanino dodajte sol in poper.	contradiction
A kot Simon advokat, gotovo tog, tako vdano mi stoka.	Tako kot odvetnik Simon tudi tožilec Damjan ob neuspehu vselej tarna.	Simon naredi, kar je želela predmet biti tisti, ki bo dajal ukaze v igri Simon Says.	tožilec naredi, kar je želela neuspehu biti tisti, ki bo dajal ukaze v igri Simon Says.	neutral
Za lažje razumevanje pristojnosti in odgovorov Pooblaščenca, vam v nadaljevanju pojasnjuje pomen nekaterih pojmov, kot jih določa ZVOP-1.	Ker se je izkazalo, da se pojavljajo težave v zvezi z razumevanjem pristojnosti Pooblaščenca, so natančno popisali pojme iz ZVOP-1 in ob njih pripisali razlago.	ZVOP na kratko navede da bi razumeli, kaj govori ZVOP.	težave jasno opredeli preverite njegovo razumevanje ---	neutral
Podgana se najbolje ujemajo z zmajem in opico, najslabše pa s konjem.	Podgana se dobro ujame z vsemi, najbolje pa s konjem.	PersonX teče z zajcem in lovi s psi da bi ostali na dobri strani vseh.	PersonX teče z zajcem in lovi s psi da bi ostali na dobri strani vseh.	contradiction
V samostojni Sloveniji tudi še ni bilo nogometne tekme, na katero bi prišlo 10000 Slovencev s plačanimi vstopnicami.	Odkar se je leta 1991 Slovenija osamosvojila, še ni bilo nogometnega dogodka, kamor bi šlo deset tisoč prebivalcev Slovenije s kartami, ki so jih plačali vnaprej.	PersonX nikoli ni bil na vlaku za nakup vozovnice	PersonX se nikoli ni vrnil biti sam	entailment
»Pustil te bom dve do tri ure, da se spočiješ.	“Ker jasno vidim, da nujno rabiš počitek, bova naredila 2-3 urni premor.“	osebek vzame ure dve uri za sprostitev	osebek vzame predmet dve uri za sprostitev	neutral
Mi ostali moramo trdo delati, da se nekako preživljamo.«	Na srečo spadam med tiste ljudi, ki se ne bojijo, da bi jim zmanjkalo denarja.	Mi namesto tega poje jesti nekaj drugega, da bi preživeli.	osebek žalostno, da nimajo več denarja	contradiction
Naslednji vzpon je iz doline Završnice, kjer sledimo označeni poti na Valvasorjev dom.	Iz doline Završnice nas povsem položna pot ne bo popeljala do Valvasorjevega doma.	vzpon zapusti hišo dom pojdite v hišo Persony's House	pot nikoli ne dobi vrnitev na dom	contradiction
»To je pa dolga pot,« je rekel.	Dejal je: “Ravno smo začeli hoditi, pa smo že pri koncu poti.“	To prevozi dolgo pot	osebek konča pohod koncu pohod nazaj na začetek	contradiction
Lahko si pošiljamo voščilnice s pesmicami, izbranca povabimo na večerjo, mu podarimo darilce, lahko pa si izmenjamo tudi cvetje.	Za rojstni dan lahko slavljenca presenetimo na različne načine: s skromnim darilom, vabilom, voščilom ...	osebek kupi cvetje ga lahko podari svoji prijateljici	osebek preseneti podarite darilo za rojstni dan načine	neutral
Obljubil sem si, da tega ne bom dopustil nikoli več.	Sebi in svoji družini sem dala svečano obljubo, da so tega nikdar več ne bo prišlo.	osebek da tega ne bi nikoli več storili.	osebek tvega življenje predmet obljubiti, da se to ne bo več ponovilo.	neutral
Nato je odločno zakoračil v strmo spuščajoč se rov, ki je bil napol zakrit z algami.	Precej samozavestno se je podal v strm predor, ki je bil globoko poraščen z morskim rastlinjem.	osebek začne kopati zapolnite luknjo	osebek zelo samozavestno	entailment
Opazovalec ima pravico, da prispe na območje inšpekcije in ima dostop do območja inšpekcije in na njem, kot ga dovoljuje država pogodbenica, v kateri se opravlja inšpekcija.	Dostopanje do območja inšpekcije ni samoumevno, pač pa se je pri tem potrebno držati pravil, ki se lahko razlikujejo od države do države.	inšpekcija gleda v smeri kateri priti na kraj, kjer lahko vidi kateri.	Dostopanje se preseli v drugo državo se prilagaja vremenskim razmeram	neutral
Vsakoletna dirka po 1860 stopnicah do vrha vzame zmagovalcu približno 20 minut.	Tekmovanje, ki je letos ugledalo luč sveta, poteka na 1860 stopnicah, ki jih morajo kandidati čim hitreje premagati.	PersonX traja preskočite korake 20 minut	kandidati teče tako hitro, kot bi lahko tekla stopnicah biti konkurenčen.	contradiction
Bombe, rakete, pištole, granate, vse to so uporabljali med vojno.	Dandanes je biti pacifist nekaj povsem običajnega. Večini se kakršnokoli orožje dobesedno gabi.	Bombe vojno vzame življenje uporabljati orožje	PersonX je spet normalen imeti rutino.	neutral
»Saj ne morem verjeti!« sem kriknila in strmela v krompir.	Kar nisem mogla dojeti, da sem bila zares sprejeta na izbrano fakulteto; nejeverno sem strmela v moj pire krompir.	osebek ne morem jesti	osebek nikoli ni bilo všeč nikoli ne naročiti sendvičev s prsti v restavraciji.	neutral
Proti koncu polčasa so rokometašice Dunaferrja izkoristile nekaj nespretnosti in zmanjšale razliko na 11:12.	Ker so nasprotnice proti koncu prve polovice tekme prikazale brezhibno igro brez napak, se jim rokometašice iz Dunaferrja niso uspele preibližati.	rokometašice zmanjša zmanjšati nekaj drugega za faktor	Družba PersonX omogoča, da je popolnost sovražnik dobrega razočaran, ker ni izpolnil svojih želja.	contradiction
Vpliv na kakovost in učinkovitost gimnazijskega izobraževanja Splošna matura spodbuja dijake, učitelje in šole k doseganju večje učinkovitosti pouka in učenja ter višje kakovosti znanja.	Navadno je gimnazijska Splošna matura le nujno zlo, na katero se morajo dijaki pripravljati tekom štirih let, učitelji pa jih silijo k sprotnemu, ne nujno najbolj uspešnemu delu, in posledično so tudi rezultati večkrat nezadovoljivi.	matura je osnovnošolski učitelj učenci dosegajo visoke rezultate na testih.	rezultati je osnovnošolski učitelj učenci dosegajo visoke rezultate na testih.	contradiction
Zaradi premočnega vetra so prireditelji tekmo prestavili na nedeljo, ko naj bi bili na sporedu dve tekmi, sobotna le z eno serijo.	Odbojkarska tekma je bila prestavljena za en dan, saj je bil veter premočan, da bi lahko igrali.	tekmi prekrši soboto na delo v nedeljo	veter igra igre z dan določite drug dan za igranje iger.	neutral
»Kdo ti je omogočil vse, kar imaš?«	“Zaradi koga je sploh možno, da imaš vse, kar premoreš?“	PersonX ima oboje vse to	PersonX ima oboje da imajo vse, kar lahko.	entailment
Dobiček, ki ga s svojim poslovanjem ustvari Sklad se nameni spodbujanju uravnoteženega regionalnega razvoja in ohranjanju poseljenosti slovenskega podeželja, kakor tudi za povečanje osnovnega kapitala Sklada.	Sklad s svojim delovanjem pridobiva tudi določena finančna sredstva, ki jih preusmeri v pospeševanje razvoja na regionalni ravni, zagotavljanje gostote poselitve podeželja, del dobička pa gre za povečanje osnovnega kapitala združbe.	Sklad povečuje dobiček poslovanjem zaslužiti denar	del poveča delež povečanje zaslužiti denar	entailment
Nemški dirkač formule 1 moštva Mercedes GP Nico Rosberg je prepričan, da je bila odločitev – ostati na gumah za suho stezo – pravilna. več	Dirkač formule 1, Nico Rosberg, ki tekmuje za moštvo Mercedes GP, se je pred tekmo po tehtnem premisleku odločil za menjavo pnevmatik.	PersonX vozi gokarte zmagati na dirki	PersonX vozi enega kupi nova kolesa	contradiction
Zaostanek treh golov se je pred koncem prvega dela hitro stopil, ko je trikrat zapored prodrl skozi tekmečevo obrambo.	Dretje navijačev ga je motiviralo, da je na koncu prvega dela prodrl skozi obrambo nasprotnika in dohitel razliko za 3 gole.	Zaostanek ujame žogo da vržeš žogo na tretjo bazo.	Dretje ujame žogo da vržeš žogo na tretjo bazo.	neutral
Predsednik skrbi in odgovarja za izvajanje odločitev pokrajinskega sveta in pokrajinskih odborov.	Poleg predstavništva nima predsednik pokrajinskega sveta nobenih posebnih funkcij, ki jih mora opravljati.	Predsednik vidi glavno osebo izvajanje odločitev, sprejetih na sestanku.	predsednik nima ničesar drugega za početi nič	contradiction
Tudi protestov slovenske politike, ki jih je sprožilo stališče zveznega predsedstva o ustavnosti in zakonitosti odločitve, da bo vojaško sodišče poslovalo v srbohrvaškem jeziku, ni razumel.	Slovenski politiki so začeli proteste z namenom preprečitve poslovanja vojaškega sodišča v srbohrvaščini, čeprav je zvezno predsedstvo po dolgi razpravi potrdilo ustavnost tovrstnega delovanja.	sodišče krši zakon na sodišču.	predsedstvo zapre usta razpravi tiho	neutral
Kot risalno orodje so v srednjem veku uporabljali v paličico stolčen svinec.	V srednjem veku so prvič uporabili svinec kot risalo, od tod še danes izraz “svinčnik“.	osebek še nikoli ni bila na vlaku uporabljati avtomobil kot prevozno sredstvo.	izraz je vedno uporabljala pisati s svincem	neutral
Tako diskurzivno konsezualna homogenost »žensk« kot skupine nadomesti historično specifično materialno realnost različnih skupin žensk.	Nekoč so bile ženske kot družbena skupina precej soglasne in homogene, kasneje je prišlo do heterogenosti in razlikovanja med določenimi skupinami.	Funkcija PersonX izboljša položaj žensk se zavedati ženskih vprašanj.	ženske tvori skupino heterogenosti kot del nečesa	entailment
Napisal bom ček, dvignil denar in si privoščil še eno pivo.	Žal sem ravnokar zapravil še zadnji evro, tako da se bom domov odpravil žejen.	osebek kupi pivo kupiti še enega.	osebek ujame naslednji vlak Žal mi je, da sem zamudil prejšnjo	contradiction
“Vedel sem, da ti ne bi smela povedati,“ je čemerno pripomnil Gus.	“Seveda, to bi ti moral reči!“ je veselo vzkliknil Gus.	Gus ni nikoli izvedela da ne poveste Gus	Gus se je smejala in povedala da jim je povedal.	contradiction
Zjutraj jo je Mark našel, kako je zgroženo zrla skozi okno in zmajevala z glavo.	Ko je napočilo jutro, je Mark videl, kako je z grozo na obrazu nejevoljno gledala skozi okno.	Mark vidi pokukati skozi okno zunaj	Mark vidi nasmehi skozi okno	entailment
»Najprej ga bomo morali sleči, šele potem vam bom lahko odgovoril.	“Šele po tem, ko mu bomo odstranili oblačila, bom lahko podal odgovor.“	osebek najprej odgovori na vprašanje da se vrnete in odgovorite na ostale	osebek pravi, ko sliši odgovor.	entailment
»Te ocene vendar!« je skoraj zahlipala Lucija Lupinc.	Lucija Lupinc je izrazila nezadovoljstvo nad ocenami.	PersonX ima oboje vse to	PersonX je neuspešen pri matematiki da bi si izboljšali oceno.	entailment
Prešernovo zrelo pesniško obdobje je trajalo do leta 1840, najintenzivnejše pa je bilo do leta 1836.	France Prešeren je umrl leta 1849, v tem času je napisal ogromno pesmi, največ pa do leta 1836.	"PersonX je sto let prezgodaj obdobje morda nikoli ne bo prišla v ""svoj"" čas in bo morda v slabšem položaju ves čas svojega življenja."	France obožuje glasbo leta napisati več glasbe.	neutral
“Hej,“ je rekel, “kaj pa počneš?“	Opazil je, da riše grafite na javni stavbi, zato je zakričal nanj.	osebek gleda predmet vprašajte, kaj počnejo.	osebek vidi rdeče udari v steno.	neutral
FJK nasprotuje državnemu prostorskemu načrtu v delu, ki se nanaša na prostorsko ureditev koprskega pristanišča pri organizaciji mednarodnega pristaniškega prometa.	FJK se ne strinja s prostorskim načrtom države, ki že poteka in določuje prostorsko razporeditev pristanišča v Kopru pri organizaciji mednarodnega pristaniškega prometa.	Kadrovska zakonodaja ureja sledenje pošiljkam med državami.	Kadrovska zakonodaja ureja sledenje pošiljkam med državami.	entailment
Odrasle se hranijo predvsem z ribami, raki in vodnimi žuželkami.	Najbolj pogost izbor na jedilniku odraslih so raznorazne ribe, rakci ali druge vodne žuželke.	Odrasle se prehranjuje zdravo kupujejo zdravo zelenjavo, sadje in ribe.	PersonX ribe ali rezana vaba ujeti veliko rib	entailment
Le tako znanje omogoča nadgrajevanje tujega jezika kasneje, ko ga bodo potrebovali kot izobraženci na različnih področjih.	Samo na ta način lahko bodoči izobraženci na raznih področjih z znanjem nadgrajujejo svojo kompetentnost v tujem jeziku.	PersonX postavlja vprašanja pozneje da bi širili svoje znanje.	izobraženci požre vsak se lahko nauči česa novega, kar razširi določeno znanje in spretnosti.	entailment
Kakavovo maslo je pomešano z vonjem cimeta, sladke pomaranče in klinčkov.	Kakavovo maslo je povsem nedišeče, saj mu ne dodajamo nobenih arom, ki bi povzročile prijeten vonj.	maslo meša jabolka in pomaranče jih posujemo s sladkorjem.	maslo daje nič sladkarije	contradiction
Učitelj prav zaradi tega mora k svojemu delu pristopiti s sodobnim načinom poučevanja in ocenjevanja.	Ker so se sodobni načini poučevanja in ocenjevanja izkazali za najučinkovitejše, učitelji odslej posegajo po prav teh.	Učitelj je učitelj v šoli srečen in zadovoljen s svojim poučevanjem.	učitelji ocenjuje učence ' se osredotočite na najboljši način učenja.	neutral
